trade_id	stock_symbol	trade_date	trade_type	quantity	price	brokerage_firm	trader_name
97	GOOGL	8/27/2020	sell	501	367.77	Yakitri	Tamma Fann
98	AAPL	8/2/2018	sell	895	756.78	Gigazoom	Barbi Turneaux
99	GOOGL	12/21/2019	buy	233	870.33	Babbleopia	Randell Bankes
100	AAPL	6/30/2020	buy	839	178.95	Lajo	Benjie Dowty
101	AAPL	11/22/2021	buy	492	122.18	Jabbercube	Melisandra Nelthorp
102	AMZN	1/27/2021	sell	811	466.35	Wikibox	Brandi Stellman
103	AAPL	7/10/2017	sell	705	857.96	Youbridge	Cornell Ugo
104	AAPL	3/25/2015	sell	311	614.96	Photojam	Cybil Connerly
105	AMZN	11/28/2021	buy	477	172.33	Browsecat	Milka Hattersley
106	AAPL	10/23/2013	buy	596	780.66	Brightdog	Deidre Timbs
107	AMZN	9/16/2018	buy	338	654.3	Twinte	Lonnard Chamberlain
108	GOOGL	7/4/2014	sell	925	768.42	Riffwire	Leroi Bissex
109	AAPL	3/31/2018	sell	410	669.7	Blogtag	Finlay Maffini
110	AAPL	5/14/2022	sell	518	988.32	Oyonder	Georgeta Whimp
111	GOOGL	3/24/2014	buy	577	748.47	Shuffletag	Brittney Colson
112	AAPL	2/21/2010	sell	740	128.61	Zava	Daniella Cardenoza
113	AMZN	8/29/2015	sell	281	71.25	Brainbox	Salomi McQuillin
114	GOOGL	5/31/2019	buy	752	431.91	Divavu	Keenan Kingswoode
115	AAPL	7/9/2020	sell	343	453.64	Gabtune	Dot Bachmann
116	GOOGL	1/19/2012	sell	834	419.59	Brainbox	Odelia Hasley
117	AAPL	4/28/2016	buy	98	645.94	Photojam	Lillian Skevington
118	AAPL	5/15/2014	buy	326	138.98	Topicware	Austina Lourens
119	AAPL	5/25/2012	buy	512	155.09	Blogtag	Auguste Cassie
120	AAPL	5/21/2021	sell	636	66.94	Browseblab	Tobi Kordovani
121	AMZN	8/18/2011	buy	186	83.56	Skajo	Jakob Huxster
122	GOOGL	9/7/2022	sell	344	879.1	Skidoo	Tudor Jouannisson
123	AAPL	6/25/2012	sell	693	394.12	Oozz	Karlee Petrelli
124	GOOGL	11/11/2013	sell	420	872.9	Realfire	Engelbert Albone
125	AAPL	6/21/2014	sell	104	136.05	Tagtune	Karissa Tibald
126	AAPL	10/5/2021	sell	944	689.46	Twimm	Dugald Hutton
127	AAPL	10/26/2018	buy	59	177.48	Edgetag	Klement Paolillo
128	AAPL	5/1/2013	buy	129	807.73	Jaxbean	Stefanie Trathan
129	AMZN	9/28/2012	sell	847	301.86	Tagopia	Paolina O' Dornan
130	AMZN	1/25/2011	buy	732	746.0	Zazio	Leonora Peasegod
131	GOOGL	12/11/2019	buy	490	997.2	Blogspan	Lilian O'Dreain
132	GOOGL	3/24/2015	sell	703	708.84	Agivu	Bartram Hardacre
133	AMZN	11/26/2012	buy	125	961.9	Trilia	Devan Rumke
134	AAPL	2/13/2016	buy	108	269.56	Wordtune	Knox Proffer
135	AAPL	8/25/2011	buy	468	811.07	Aimbo	Kaitlin Petrovsky
136	AAPL	7/28/2018	buy	756	828.67	Skyble	Robby Coulthard
137	GOOGL	11/16/2014	sell	844	187.48	Jabbertype	Clarisse Caiger
138	GOOGL	11/21/2012	sell	20	877.03	Photolist	Packston Cowlard
139	GOOGL	7/15/2010	buy	545	441.27	Ozu	Winny Wattingham
140	AAPL	11/16/2018	sell	106	569.45	Voonte	Fayina Ingerith
141	GOOGL	12/31/2011	sell	725	345.16	Kwinu	Margalo Buttrey
142	AAPL	10/19/2019	buy	217	481.83	Devbug	Blinni Epperson
143	AMZN	11/16/2022	sell	521	538.16	Kimia	Wyndham Elliss
144	GOOGL	10/17/2011	sell	438	418.57	Quimba	Una Grayer
145	AAPL	1/31/2021	sell	159	319.89	Vimbo	Fallon Firle
146	AAPL	7/19/2015	sell	214	773.36	Katz	Keelby Caig
147	AMZN	8/17/2022	sell	764	560.0	Skivee	Thomasa Bramer
148	AAPL	9/17/2020	sell	115	526.0	Tagchat	Frannie Carlozzi
149	GOOGL	5/25/2015	sell	261	798.04	Omba	Gerik Ossipenko
150	GOOGL	2/23/2014	buy	451	672.61	Topiczoom	Napoleon Westwater
151	AMZN	1/15/2022	buy	134	50.05	Buzzster	Janaye Caro
152	AAPL	10/11/2013	buy	634	221.67	Innojam	Olenka Hacquel
153	GOOGL	10/19/2017	buy	930	721.59	Oloo	Conn Whitchurch
154	GOOGL	1/28/2012	buy	675	213.46	Wordify	Zandra Beddow
155	AMZN	1/26/2014	buy	681	796.46	Gevee	Georgiana Bamblett
156	GOOGL	7/18/2013	sell	783	81.09	Browsedrive	Madeline Medway
157	AMZN	6/10/2021	sell	661	243.75	Fanoodle	Rufus Megroff
158	GOOGL	4/26/2018	buy	26	121.39	Kare	Travis Brazer
159	AMZN	7/16/2012	sell	746	291.82	Zoozzy	Bendicty Gowrich
160	AAPL	11/26/2013	sell	446	491.58	Digitube	Sybila MacNeillie
161	AAPL	2/3/2012	buy	337	220.55	Eadel	Maryjane Duplock
162	AAPL	6/7/2010	buy	623	397.13	Feednation	Tiffi Oolahan
163	GOOGL	2/18/2014	sell	148	345.38	Zoombeat	Cammi McHarry
164	GOOGL	5/2/2018	buy	649	804.17	Podcat	Oberon Mannie
165	AAPL	11/6/2016	sell	163	449.58	Mybuzz	Joey Sloane
166	AMZN	3/6/2017	sell	778	469.54	Thoughtstorm	Selma O'Feeney
167	AAPL	1/8/2010	sell	635	986.32	Feedfish	Denis Haruard
168	AAPL	12/16/2012	sell	142	406.98	Zoomcast	Dalis O'Cridigan
169	AAPL	11/11/2021	buy	196	642.51	Katz	Kata Concannon
170	AAPL	8/23/2021	sell	313	542.32	Riffwire	Gianna Janovsky
171	AMZN	1/6/2021	buy	308	742.17	Yozio	Joachim Rodder
172	GOOGL	7/29/2021	buy	821	351.25	Thoughtsphere	Curran Medd
173	GOOGL	9/5/2012	buy	156	963.65	Babbleopia	Jess Chillistone
174	AMZN	6/28/2016	buy	266	610.49	Yozio	Antonius Bleakley
175	AAPL	6/17/2021	buy	29	671.38	Midel	Dennie Buzine
176	AAPL	5/23/2010	buy	192	720.6	Mydo	Ignatius Baddam
177	AMZN	7/12/2017	buy	988	318.62	Dabtype	Amye Robbins
178	AAPL	5/16/2019	sell	915	230.55	Yakijo	Jessalin Lefley
179	AAPL	3/16/2015	buy	817	196.34	Aimbu	Jdavie Newall
180	GOOGL	11/11/2020	sell	772	724.94	Janyx	Em Blanking
181	AAPL	1/12/2019	sell	628	102.79	Ntag	Bili Valance
182	GOOGL	12/29/2012	buy	722	189.52	Brightdog	Royce Kittles
183	AMZN	10/18/2017	sell	879	531.73	Gigazoom	Adara Cyphus
184	AMZN	6/22/2019	sell	690	509.14	Jaxspan	Corrianne Plumridge
185	AAPL	11/13/2019	buy	390	758.41	Centimia	Janeta Leebeter
186	AAPL	11/21/2013	buy	252	240.86	Trilia	Ogden Huws
187	AMZN	12/21/2020	buy	602	947.01	Zoozzy	Elisabetta Giorgione
188	GOOGL	5/14/2021	buy	825	267.12	Dynazzy	Kissie Aujean
189	AAPL	2/22/2022	sell	405	261.55	Voolia	Margaux Hurrion
190	AAPL	5/18/2015	sell	738	222.46	Yambee	Haily Cowle
191	GOOGL	1/18/2011	buy	461	234.73	Fliptune	Hyacinthie Buggs
192	GOOGL	1/14/2010	buy	908	354.41	Dablist	Diane-marie Antwis
193	AMZN	12/7/2022	buy	635	925.92	Snaptags	Smitty Utting
194	AMZN	4/14/2016	sell	515	852.9	Jaxbean	Rutter Bleything
195	AMZN	1/25/2015	buy	397	688.01	Wikibox	Sheri Steuhlmeyer
196	GOOGL	1/4/2022	sell	46	123.78	Yombu	Lin Dracey
197	AAPL	7/23/2016	sell	707	241.97	Quire	Lemuel Pullan
198	AAPL	5/15/2018	buy	698	594.94	Voonyx	Norby Colmore
199	GOOGL	11/7/2020	buy	394	64.47	Leexo	Avivah Middleditch
200	AAPL	12/6/2012	sell	162	735.92	Livepath	Noni Caps
201	GOOGL	9/18/2016	buy	431	505.79	Skyndu	Angie Jozsa
202	GOOGL	11/11/2020	buy	410	304.33	Meemm	Robinson Mariot
203	AMZN	2/3/2014	sell	213	50.89	Zoozzy	Kiersten Riding
204	AAPL	10/17/2022	buy	938	76.2	Kwimbee	Murielle Searchfield
205	AAPL	2/15/2014	buy	781	388.14	Zooveo	Steffi Arne
206	GOOGL	7/10/2020	sell	175	158.07	Quinu	Otto Monkeman
207	AAPL	4/14/2021	buy	450	668.68	Zoombox	Bette Etienne
208	AAPL	2/8/2010	buy	595	726.92	Thoughtstorm	Derry MacSkeaghan
209	GOOGL	12/11/2014	sell	750	639.85	Flashset	Joanne Dow
210	AMZN	1/26/2019	buy	887	494.6	Katz	Alasteir Simeone
211	GOOGL	3/7/2021	buy	240	978.34	Jabberbean	Garwin Elmer
212	GOOGL	4/25/2019	buy	120	346.22	Meetz	Marjie Goldine
213	AMZN	10/5/2014	buy	187	393.79	Browsebug	Greer Shalliker
214	AAPL	6/25/2013	sell	788	561.94	Divape	Aigneis Filipovic
215	AMZN	6/1/2021	sell	339	556.3	Avaveo	Mareah Rosario
216	AAPL	11/8/2014	buy	56	475.57	Gabtune	Alfred Soutter
217	GOOGL	2/28/2017	buy	222	205.17	Meembee	Leesa Chetwind
218	AAPL	7/17/2017	buy	757	96.65	Thoughtblab	Boothe Ipgrave
219	AAPL	11/15/2014	sell	577	568.03	Zoombeat	Natal Milton-White
220	GOOGL	3/8/2017	sell	801	596.73	Jayo	Aretha Parley
221	AMZN	5/25/2011	buy	173	541.25	Wordtune	Giles Impy
222	AAPL	9/5/2012	sell	177	330.43	Feedbug	Lauri Romagnosi
223	AMZN	5/5/2014	buy	399	359.95	Realfire	Jenilee Caroli
224	AMZN	10/12/2013	buy	683	99.12	Dynabox	Bondy Sobieski
225	GOOGL	11/6/2011	sell	87	231.56	Minyx	Deloris Chipp
226	AAPL	9/17/2017	sell	920	32.46	Yakitri	Liam Halpin
227	GOOGL	10/30/2014	sell	480	955.05	Trilith	Shirline Corser
228	GOOGL	6/29/2013	sell	158	228.23	Snaptags	Reba Rosenau
229	AMZN	6/11/2012	sell	771	176.61	Realmix	Lesley Slade
230	AMZN	7/2/2016	buy	407	391.36	Eadel	Deeyn Bruhnicke
231	AAPL	8/29/2010	sell	149	931.8	Twiyo	Tandi Paprotny
232	AAPL	1/18/2020	buy	953	219.71	Camido	Clerc Andreassen
233	GOOGL	11/17/2022	buy	453	698.53	Edgewire	Susanetta Stanyland
234	AAPL	4/22/2015	sell	956	376.37	Skimia	Kare Carnachen
235	AAPL	9/7/2019	sell	236	588.31	Flipbug	Emmanuel Antoniades
236	AAPL	4/21/2020	buy	184	499.67	Gigaclub	Welsh Casaro
237	GOOGL	9/29/2022	buy	687	815.99	Skimia	Norma Moulster
238	GOOGL	9/24/2011	buy	797	356.87	Dabtype	Jeanne Dobell
239	AAPL	9/29/2017	sell	812	528.57	Meembee	Delilah Booij
240	AMZN	2/19/2014	buy	161	986.46	Ozu	Marga Ahmad
241	AMZN	10/24/2016	buy	763	968.48	Brightdog	Karoly Dimnage
242	GOOGL	11/13/2018	sell	183	918.99	Digitube	Orelie Raffeorty
243	AAPL	1/12/2022	sell	280	80.79	Oba	Amalie Dobrowlski
244	GOOGL	7/4/2015	buy	372	361.47	Livepath	Leigh Ida
245	AMZN	11/8/2015	buy	950	194.86	Babbleset	Maxy Corbie
246	GOOGL	10/19/2010	sell	559	861.67	Trudeo	Faulkner Mealand
247	GOOGL	1/25/2019	sell	943	705.35	Fivespan	Archie Bradnam
248	AMZN	11/15/2015	buy	603	751.79	Quimm	Nanni Burehill
249	AAPL	9/30/2012	buy	534	498.74	Dynabox	Moshe Jendrassik
250	GOOGL	6/13/2016	buy	480	318.59	Skinder	John Cuxon
251	AMZN	12/24/2014	sell	730	345.37	Innotype	Feliza Beumant
252	AAPL	8/2/2010	sell	931	827.26	Thoughtbridge	Ford Barles
253	AMZN	6/12/2012	buy	13	465.1	Livefish	Myrvyn Kropp
254	AMZN	11/12/2013	buy	40	592.25	Riffpath	Rene Carous
255	AAPL	12/3/2022	sell	696	464.98	Avamm	Artus Birkmyre
256	AAPL	12/13/2010	buy	809	132.31	Centizu	Perceval Mundford
257	AMZN	6/10/2011	sell	50	769.79	Plambee	Shanta Kittless
258	AMZN	3/21/2019	sell	949	161.21	Twimm	Hermina Tyrer
259	AMZN	9/12/2011	sell	415	548.24	Browsecat	Aloysius Oret
260	AMZN	3/25/2021	buy	346	52.55	Pixonyx	Rosa Vanshin
261	GOOGL	1/11/2015	buy	640	730.15	Livepath	Fred Kindleside
262	GOOGL	3/12/2021	buy	307	797.18	Babbleset	Raff Plitz
263	GOOGL	7/15/2011	sell	606	537.84	Linkbuzz	Natale Machin
264	AMZN	7/24/2022	buy	323	876.72	Bluejam	Donetta Brenneke
265	AMZN	7/1/2015	buy	399	452.05	Thoughtstorm	Jacynth Waddie
266	GOOGL	11/20/2020	sell	188	391.26	Bubblebox	Kylen Chadburn
267	AMZN	1/26/2019	buy	64	357.81	Wordtune	Hilliard Minker
268	AMZN	5/22/2012	buy	224	287.84	Skalith	Lindsey Chedzoy
269	AMZN	3/20/2012	buy	979	837.06	Fatz	Renard Raistrick
270	AMZN	9/6/2014	buy	820	254.15	Rhynoodle	Lucienne Chiene
271	AMZN	1/4/2010	buy	393	544.81	Gevee	Perle Staddart
272	AMZN	8/1/2014	sell	265	138.37	Gevee	Mureil Shillam
273	GOOGL	1/21/2014	sell	726	779.67	Kwimbee	Lorraine Khadir
274	AAPL	4/19/2010	sell	980	101.03	Brainverse	Chrisy Collopy
275	AAPL	1/18/2022	sell	35	712.92	Oba	Standford Kelley
276	AMZN	9/25/2019	sell	485	729.94	Teklist	Kristyn Koschek
277	AAPL	9/2/2013	buy	970	164.2	Riffpath	Tallia Fishlock
278	GOOGL	5/31/2012	buy	955	100.09	Bubblemix	Jeannie Heimann
279	GOOGL	8/3/2010	buy	539	23.42	Flashdog	Flynn Moland
280	AMZN	6/26/2014	buy	824	653.65	Tagopia	Georgette Child
281	GOOGL	12/26/2016	sell	197	970.99	Brightdog	Monika Dawes
282	GOOGL	5/19/2012	sell	62	849.79	Shufflebeat	Mart Krop
283	AAPL	3/5/2016	buy	274	815.05	Skipstorm	Bobbie Grolmann
284	AAPL	10/28/2013	buy	707	687.7	Dablist	Edgardo McIllroy
285	AMZN	7/1/2010	sell	782	704.09	Realblab	Forrest Kennerley
286	GOOGL	3/16/2017	sell	735	6.07	DabZ	Michaeline Dunston
287	AMZN	10/10/2015	buy	675	820.65	Avaveo	Gibbie Rosenfield
288	AMZN	4/27/2012	buy	80	355.32	Bubbletube	Elbert Farlow
289	GOOGL	10/24/2014	sell	311	300.38	Realcube	Joelie Blanpein
290	GOOGL	2/25/2022	sell	253	248.29	Babbleblab	Miran Darragh
291	AMZN	11/18/2018	sell	258	871.62	Browsecat	Alvina Fidilis
292	GOOGL	8/6/2013	sell	210	787.57	Zoomlounge	Brook Catling
293	GOOGL	1/8/2020	sell	626	673.24	Meevee	Spenser Guard
294	AAPL	8/23/2022	sell	287	200.54	Quimba	Kaleb Cherry Holme
295	AMZN	7/13/2016	buy	444	918.59	Vipe	Madelin Pinks
296	AMZN	12/27/2020	sell	361	542.32	Wordify	Stanleigh Zelake
297	GOOGL	2/6/2015	sell	355	673.97	Thoughtsphere	Ham McCawley
298	AMZN	5/10/2011	buy	594	196.7	Meetz	Hillyer Palin
299	GOOGL	6/25/2015	buy	77	843.26	Voonte	Elka Bilbrooke
300	AAPL	12/21/2018	buy	12	743.62	Digitube	Kamilah Frazer
301	AMZN	4/13/2019	sell	830	378.65	Minyx	Janeczka Reinert
302	AAPL	9/23/2019	buy	339	192.56	Jabberstorm	Janene Franzke
303	AAPL	12/19/2013	sell	752	232.68	Layo	Marilee Cruz
304	AMZN	10/18/2019	buy	57	461.21	Babbleopia	Orren Braithwait
305	GOOGL	10/28/2020	buy	992	799.8	Meemm	Remington Avramovich
306	AAPL	6/30/2013	sell	973	962.51	Skyndu	Cord Philpin
307	AAPL	12/23/2021	buy	770	728.77	Demivee	Doe Rothman
308	GOOGL	2/1/2022	buy	662	349.72	Skinder	Rutledge Durn
309	GOOGL	3/4/2019	buy	511	3.52	Edgeblab	Orazio Lembcke
310	GOOGL	10/25/2015	buy	919	771.21	Roombo	Rourke Cuthill
311	AMZN	9/27/2011	buy	935	618.58	Ainyx	Grace Lowde
312	AAPL	1/21/2013	sell	990	872.15	Topicstorm	Duffie Wones
313	GOOGL	3/3/2015	sell	471	569.21	Zoomdog	Bessie Dryburgh
314	GOOGL	8/3/2015	sell	159	958.03	Skidoo	Chickie Broscombe
315	GOOGL	10/14/2019	sell	725	214.31	Quinu	Catrina Kerins
316	AMZN	7/9/2014	sell	369	609.75	Wikibox	Lorri Chason
317	AMZN	8/31/2020	buy	392	786.59	Demizz	Ediva Reddel
318	AMZN	5/31/2012	sell	275	519.74	Meeveo	Edythe De Lasci
319	GOOGL	6/26/2022	sell	677	605.7	Skyble	Marcelline Darcy
320	AMZN	2/19/2021	sell	548	447.42	Divavu	Humfrid Karlik
321	AAPL	12/31/2016	sell	56	559.05	Realbridge	Tiena Brunning
322	AAPL	6/24/2020	sell	944	306.45	Meedoo	Sherye MacDonagh
323	GOOGL	1/30/2013	sell	920	829.85	Quimba	Angelia Kornyakov
324	GOOGL	10/27/2016	sell	616	298.62	Jetwire	Emmeline Torregiani
325	AAPL	5/21/2012	buy	792	619.27	Eare	Sioux Odde
326	GOOGL	11/5/2011	buy	503	29.81	Roodel	Elinore Novotna
327	AMZN	5/29/2017	buy	443	895.87	Ntag	Kerstin Pridham
328	AMZN	7/26/2014	buy	658	827.65	Meeveo	Axe Eldredge
329	GOOGL	12/27/2010	buy	203	687.65	Photospace	Bess Widdison
330	GOOGL	2/26/2014	buy	375	259.54	Jabbersphere	Bobinette Vonderdell
331	GOOGL	7/1/2018	buy	198	758.97	Skiba	Drucie Gianotti
332	AMZN	7/21/2013	buy	108	809.24	Teklist	Auroora Bromley
333	AAPL	10/22/2016	buy	346	194.76	Fivechat	Zorah Corder
334	AMZN	2/20/2016	sell	351	309.33	Eazzy	Alfonse Friskey
335	AAPL	10/19/2019	sell	56	543.25	Devify	Waly Thackray
336	GOOGL	12/19/2018	buy	154	694.05	Centimia	Stepha Maciak
337	GOOGL	5/7/2022	sell	22	223.48	Leenti	Cyril Sissens
338	AMZN	6/12/2010	buy	506	599.77	Janyx	Sheri Dunbobbin
339	AMZN	12/8/2020	sell	715	825.48	Kazio	Sherri Cayle
340	AMZN	6/12/2010	buy	904	680.39	Skibox	Clevey Yackiminie
341	AAPL	7/24/2010	sell	259	309.23	Youtags	Raina Bertrand
342	AAPL	6/22/2010	buy	689	473.7	Zooxo	Hanny Truse
343	AMZN	10/24/2016	sell	448	120.33	Katz	Brandais Kirke
344	GOOGL	6/10/2019	sell	743	859.55	Shuffledrive	Nolie de Clerc
345	GOOGL	6/2/2017	sell	828	989.11	Youfeed	Towny Schooling
346	AAPL	8/26/2012	buy	709	207.19	Edgeclub	Niels Fyfe
347	AAPL	11/20/2012	buy	896	845.35	Riffpath	Krisha Rowler
348	AMZN	11/30/2013	buy	574	597.35	Vinte	Klarika Beacon
349	AAPL	11/13/2019	sell	308	216.99	Digitube	Olivia Eccott
350	GOOGL	6/28/2018	sell	36	277.79	Buzzdog	Wally Sherwen
351	AMZN	4/8/2020	sell	68	23.86	Trilith	Abbie Sandhill
352	AAPL	8/5/2019	sell	690	122.37	Photobug	Sherie Winskill
353	AMZN	1/6/2018	sell	174	741.37	Photospace	Lorain Gasgarth
354	AAPL	4/21/2020	buy	871	173.61	Trudeo	Crysta Loveredge
355	AMZN	1/7/2017	sell	838	733.47	Aimbo	Peterus McKeney
356	AMZN	7/30/2022	sell	943	368.29	Feedfish	Fanechka Lighten
357	AMZN	10/15/2018	sell	978	935.67	Twitterbridge	Nelson Bilbrooke
358	AMZN	6/11/2018	buy	180	712.82	Meevee	Flo Stronack
359	AAPL	1/8/2010	sell	11	537.61	Oyondu	Ainsley Cowerd
360	AAPL	6/27/2021	buy	411	574.0	Rhynyx	Whitney Paolo
361	AAPL	1/15/2015	sell	488	311.73	Dynava	Malchy Gorman
